text,category,language
He molested me while I was sleeping,sexual_violence,english
He threw objects at me causing injuries,Physical_violence,english
He puts me down all the time,emotional_violence,english
Anakataa kulipa huduma za matibabu,economic_violence,swahili
Anachukua mshahara wangu na kunikataza upatikanaji,economic_violence,swahili
Alikoboa kofi usoni mwangu mara kadhaa,Physical_violence,swahili
He pushed me down the stairs violently,Physical_violence,english
He refuses to let me work,economic_violence,english
He makes me feel like I'm crazy,emotional_violence,english
Ananiudhi kihisia kila siku,emotional_violence,swahili
He intimidates me with his words,emotional_violence,english
Alinichoma kwa sigara,Physical_violence,swahili
He sexually exploited me,sexual_violence,english
Hananiruhusu kuwa na kazi au mapato,economic_violence,swahili
Alivunja mkono wangu wakati wa shambulio,Physical_violence,swahili
He burned me with cigarettes,Physical_violence,english
He makes me feel small and insignificant,emotional_violence,english
He forbids me from earning money,economic_violence,english
Alinipiga kwa waya,Physical_violence,swahili
He battered me leaving visible injuries,Physical_violence,english
He sexually forced himself on me,sexual_violence,english
Anadhibiti naweza kuongea na nani,emotional_violence,swahili
Alinilazimisha vitendo vya kingono,sexual_violence,swahili
Anachukua malipo yangu kabisa,economic_violence,swahili
He ruins my credit and finances,economic_violence,english
Alinilazimisha kufanya vitendo vya kingono,sexual_violence,swahili
Ananikataza rasilimali za kiuchumi,economic_violence,swahili
Ananifanya nijisikie mwendawazimu,emotional_violence,swahili
Anazuia uhuru wangu wa kifedha,economic_violence,swahili
Ananiheshimu mara zote,emotional_violence,swahili
Alinihujumu kingono nilipokuwa nasinzia,sexual_violence,swahili
He forced intercourse on me,sexual_violence,english
He sexually invaded my personal space,sexual_violence,english
He controls every cent I spend,economic_violence,english
Alinilazimisha mahusiano ya kingono,sexual_violence,swahili
Anadhibiti pesa zote wala hananipi,economic_violence,swahili
He caused me physical harm intentionally,Physical_violence,english
He won't share financial resources,economic_violence,english
He invalidates my feelings,emotional_violence,english
Alinibaka na kunitishia baadaye,sexual_violence,swahili
Anatumia hatia kudhibiti matendo yangu,emotional_violence,swahili
He forced me to perform sexual acts,sexual_violence,english
Alinilazimisha mawasiliano ya kingono,sexual_violence,swahili
Aliupinda mkono wangu hadi ukavunjika,Physical_violence,swahili
He perpetrated sexual violence on me,sexual_violence,english
He slapped me across the face multiple times,Physical_violence,english
He emotionally terrorizes me,emotional_violence,english
He hammered me with his hands repeatedly,Physical_violence,english
He pinned me down and hurt me physically,Physical_violence,english
He prevents my financial autonomy,economic_violence,english
Anachukua mapato yangu yote kwa ajili yake,economic_violence,swahili
Alinng'ata na kuniacha alama mwilini mwangu,Physical_violence,swahili
He constantly criticizes my appearance,emotional_violence,english
He forced sexual relations on me,sexual_violence,english
Anadharau kila ninachofanya na ninachosema,emotional_violence,swahili
He raped me when I refused his advances,sexual_violence,english
Alinizaidi kingono kwa nguvu,sexual_violence,swahili
He left me with multiple injuries,Physical_violence,english
Ananilaumia kwa matatizo yake yote,emotional_violence,swahili
Alinilazimisha kingono kupitia vitisho,sexual_violence,swahili
He mocks my feelings and emotions,emotional_violence,english
Anapunguza upatikanaji wangu wa pesa,economic_violence,swahili
He forced sexual acts upon me,sexual_violence,english
He takes my paycheck completely,economic_violence,english
Alinishambulia kimwili bila onyo,Physical_violence,swahili
He verbally attacks me daily,emotional_violence,english
He stabbed me with a knife,Physical_violence,english
He humiliates me repeatedly,emotional_violence,english
He forced unwanted intimacy on me,sexual_violence,english
He twisted my arm until it broke,Physical_violence,english
He dismisses my concerns completely,emotional_violence,english
He coerced me into sexual acts,sexual_violence,english
Aliniacha na majeraha mengi mwilini,Physical_violence,swahili
Anasema niko mama mbaya,emotional_violence,swahili
Alifanya ubakaji dhidi yangu,sexual_violence,swahili
Alijeruhi mwili wangu,Physical_violence,swahili
He violated my body against my will,sexual_violence,english
He broke several of my ribs by kicking me,Physical_violence,english
He sexually dominated me by force,sexual_violence,english
He strangled me and threatened to kill me,Physical_violence,english
He says I'm a terrible mother,emotional_violence,english
Alinisukuma kwa nguvu hadi nikaanguka,Physical_violence,swahili
He forced sexual contact on me,sexual_violence,english
Anaweka fedha zote kwa siri kutoka kwangu,economic_violence,swahili
Alinichapa kwa fimbo ya mbao,Physical_violence,swahili
He won't give me money for food,economic_violence,english
He physically hurt me badly,Physical_violence,english
Alitishia kunibaka nisipoamtii,sexual_violence,swahili
He bit me and left marks all over my body,Physical_violence,english
Anaharibu imani yangu,emotional_violence,swahili
Alinishambulia na kusababisha maumivu makubwa,Physical_violence,swahili
He financially abuses me constantly,economic_violence,english
He forbids me from having my own money,economic_violence,english
Alijitia nguvu kwangu licha ya kupinga kwangu,sexual_violence,swahili
He belittles everything I do and say,emotional_violence,english
He threatened to rape me if I didn't comply,sexual_violence,english
Aninitumia vibaya kifedha,economic_violence,swahili
Alinilazimisha katika shughuli za kingono zisizo za hiari,sexual_violence,swahili
He financially controls everything,economic_violence,english
Alinishambulia kingono bila idhini,sexual_violence,swahili
Ananishusha madaraja mara zote,emotional_violence,swahili
Anaiba pesa zangu,economic_violence,swahili
Anapiga kelele na kunipiga kwa maneno kila siku,emotional_violence,swahili
Ananinyima msaada wa kifedha,economic_violence,swahili
Ananifanya nijisikie mwendawazimu,emotional_violence,swahili
Alinipapasa bila ridhaa yangu,sexual_violence,swahili
He caused me terrible physical pain,Physical_violence,english
Anadhihaki hisia zangu,emotional_violence,swahili
Ananikataza uhuru wa kiuchumi,economic_violence,swahili
Alinivunja heshima kwa njia ya kingono,sexual_violence,swahili
He committed rape against me,sexual_violence,english
He monitors all my spending,economic_violence,english
He sexually traumatized me,sexual_violence,english
Ananidhuru kifedha mara zote,economic_violence,swahili
Ananikataza kupata pesa,economic_violence,swahili
Ananikataza upatikanaji wa akaunti za benki,economic_violence,swahili
He emotionally manipulates me,emotional_violence,english
He psychologically abuses me,emotional_violence,english
Alijilazimisha kwangu kingono,sexual_violence,swahili
Hana nia ya kushiriki rasilimali za fedha,economic_violence,swahili
He kicked me in the stomach while I was pregnant,Physical_violence,english
He violated me in a sexual manner,sexual_violence,english
He isolates me from my friends and family,emotional_violence,english
Ananidharau sana,emotional_violence,swahili
Alinilazimisha kufanya ngono bila ridhaa yangu,sexual_violence,swahili
Ananidhuru kiakili,emotional_violence,swahili
He denies me economic resources,economic_violence,english
Alinitendea unyanyasaji wa kingono kwa miaka,sexual_violence,swahili
Alinishughulikia vibaya na kunidhuru,Physical_violence,swahili
He violently shoved me to the ground,Physical_violence,english
He touched me inappropriately without consent,sexual_violence,english
He controls my economic freedom,economic_violence,english
He sexually coerced me through threats,sexual_violence,english
He says I'm stupid and worthless,emotional_violence,english
He blames me for all his problems,emotional_violence,english
Alinilazimisha kufanya matendo ya kingono,sexual_violence,swahili
He takes my credit cards and money,economic_violence,english
He refuses to pay for medical care,economic_violence,english
Hananipi pesa ya chakula,economic_violence,swahili
Alinipiga ngumi mara kadhaa,Physical_violence,swahili
Ananifanya nijisikie mdogo na sina maana,emotional_violence,swahili
He forced himself on me despite my protests,sexual_violence,english
He prevents me from working or earning money,economic_violence,english
Alifanya vitendo vya vurugu za kingono,sexual_violence,swahili
He physically assaulted me in front of our children,Physical_violence,english
He brutally attacked me physically,Physical_violence,english
He beat me with a wooden stick,Physical_violence,english
He controls who I can talk to,emotional_violence,english
Alinivunja heshima kingono mara kwa mara,sexual_violence,swahili
He deprives me of financial support,economic_violence,english
Alinisumbua kingono mara zote,sexual_violence,swahili
Ananidhalilisha mbele ya watu wengine,emotional_violence,swahili
Alinichapa hadi nikapoteza fahamu usiku wa jana,Physical_violence,swahili
He assaulted me sexually in my own home,sexual_violence,english
Ananidharau mbele ya watoto,emotional_violence,swahili
He uses guilt to control my actions,emotional_violence,english
He denies me access to bank accounts,economic_violence,english
Mume wangu ananichapa kila siku kwa mikono yake,Physical_violence,swahili
He groped me without my consent,sexual_violence,english
He withholds money to control me,economic_violence,english
Alinivunja heshima mwili wangu bila ridhaa yangu,sexual_violence,swahili
He physically attacked me without warning,Physical_violence,english
Aninitawala kiuchumi,economic_violence,swahili
Alinilazimisha tendo la kingono,sexual_violence,swahili
Anashambulia tabia yangu mara zote,emotional_violence,swahili
He punched me in the face repeatedly,Physical_violence,english
Ananikataza kuwa na pesa zangu mwenyewe,economic_violence,swahili
He withholds financial resources,economic_violence,english
Anatumia pesa kunilahi,economic_violence,swahili
He sexually attacked me without consent,sexual_violence,english
He disrespects me constantly,emotional_violence,english
He restricts my access to money,economic_violence,english
He committed sexual assault against me,sexual_violence,english
He monitors my every move,emotional_violence,english
He sexually abused me when I was vulnerable,sexual_violence,english
He struck blows on my body,Physical_violence,english
He won't let me have a job or income,economic_violence,english
Alinisukuma kwenye samani na kunijeruhi,Physical_violence,swahili
Alinihujumu kingono dhidi ya mapenzi yangu,sexual_violence,swahili
Alinitupa vitu vilionijeruhi,Physical_violence,swahili
Ananibeza hadharani,emotional_violence,swahili
He economically abuses me daily,economic_violence,english
He beat me unconscious last night,Physical_violence,english
Ananilaghai kifedha,economic_violence,swahili
Ananichukiza na kunidharau mara zote,emotional_violence,swahili
Anazuia pesa ili kunidhibiti,economic_violence,swahili
He assaulted me causing severe pain,Physical_violence,english
He takes all my earnings for himself,economic_violence,english
He choked me until I couldn't breathe,Physical_violence,english
Alinishambulia kingono mara kwa mara,sexual_violence,swahili
He inflicted bodily injury on me,Physical_violence,english
Ananidhuru kihisia kwa maneno,emotional_violence,swahili
He verbally abuses me calling me horrible names,emotional_violence,english
Ananihamirisha kwa maneno kila siku,emotional_violence,swahili
Ananinyima pesa za mahitaji ya msingi,economic_violence,swahili
Alinitenda ubaya wa kingono nilipokuwa dhaifu,sexual_violence,swahili
Alinishikilia chini na kunidhuru kimwili,Physical_violence,swahili
Ananilaghai kihisia,emotional_violence,swahili
Alinishambulia kingono nyumbani kwangu,sexual_violence,swahili
Anaharibu mkopo na fedha zangu,economic_violence,swahili
Alinivunja heshima kingono bila ruhusa,sexual_violence,swahili
Ananinyima pesa za mahitaji,economic_violence,swahili
He dragged me by my hair across the room,Physical_violence,english
Alinipiga kwa mikono yake mara kwa mara,Physical_violence,swahili
Ananikataza kufanya kazi au kupata pesa,economic_violence,swahili
Alinipiga teke vibaya akaniacha na majeraha,Physical_violence,swahili
Alinikaba shingoni hadi sikuweza kupumua,Physical_violence,swahili
He smashed my head against the wall,Physical_violence,english
Alifanya unyanyasaji wa kingono kwangu,sexual_violence,swahili
Alinipiga ngumi usoni mara kwa mara,Physical_violence,swahili
Anadhibiti uhuru wangu wa kiuchumi,economic_violence,swahili
Alinigusa vibaya bila idhini yangu,sexual_violence,swahili
Anadhibiti kila senti ninayotumia,economic_violence,swahili
He keeps all finances secret from me,economic_violence,english
Ananiambia siko kitu bila yeye,emotional_violence,swahili
Alinilazimisha ukaribu usiohitajika,sexual_violence,swahili
He grabbed me violently by the throat,Physical_violence,english
He controls our finances entirely,economic_violence,english
Ananifanya niogope kihisia,emotional_violence,swahili
Anatishia kuniach a nisipoamtii,emotional_violence,swahili
Ananidhihaki hadharani,emotional_violence,swahili
Anakataa kutosheleza watoto wetu,economic_violence,swahili
He uses money to manipulate me,economic_violence,english
Anadhibiti kila kitu kifedha,economic_violence,swahili
Ananifanya nijisikie sina thamani kila siku,emotional_violence,swahili
He makes me feel worthless every day,emotional_violence,english
Alinisukuma kutoka ngazi kwa hasira,Physical_violence,swahili
Anat ishia kwa maneno yake,emotional_violence,swahili
He says cruel things to hurt me,emotional_violence,english
He steals money from me,economic_violence,english
He sexually brutalized me,sexual_violence,english
Alinipiga mateke na ngumi mara kwa mara,Physical_violence,swahili
My husband beats me every day with his fists,Physical_violence,english
Alinipiga kwa ukanda akaniacha na michubuko,Physical_violence,swahili
He forced me to have sex against my will,sexual_violence,english
Anakosoa sura yangu mara zote,emotional_violence,swahili
He roughly manhandled and hurt me,Physical_violence,english
He denies me economic independence,economic_violence,english
He sexually harassed me constantly,sexual_violence,english
Alinishambulia kimwili mbele ya watoto wetu,Physical_violence,swahili
He exploits me financially,economic_violence,english
He takes my salary and refuses me access,economic_violence,english
He kicked and punched me repeatedly,Physical_violence,english
He violated me sexually without permission,sexual_violence,english
He economically dominates me,economic_violence,english
He gaslights me making me doubt my sanity,emotional_violence,english
Anazuia rasilimali za fedha,economic_violence,swahili
Alinitumia vibaya kingono,sexual_violence,swahili
Anafuatilia matumizi yangu yote,economic_violence,swahili
He denies me money for basic needs,economic_violence,english
Aligonga kichwa changu ukutani,Physical_violence,swahili
Alinikaba shingoni na kunitishia kuniua,Physical_violence,swahili
He destroys my self-esteem constantly,emotional_violence,english
He ridicules me in public,emotional_violence,english
Anadhibiti fedha zetu kabisa,economic_violence,swahili
He attacks my character constantly,emotional_violence,english
He degrades me in front of others,emotional_violence,english
Alinichoma kwa kisu,Physical_violence,swahili
Alinikokota kwa nywele zangu ndani ya chumba,Physical_violence,swahili
Anapuuza hisia zangu,emotional_violence,swahili
He refuses to provide for our children,economic_violence,english
He pushed me into furniture causing injury,Physical_violence,english
He constantly insults and humiliates me,emotional_violence,english
He financially manipulates me,economic_violence,english
He emotionally abuses me verbally,emotional_violence,english
Anachukua kadi zangu za mkopo na pesa,economic_violence,swahili
He sabotages my work opportunities,economic_violence,english
Alivamia nafasi yangu ya kibinafsi kingono,sexual_violence,swahili
Alifanya mapendekezo ya kingono yasiyo ya hiari,sexual_violence,swahili
Alinitawala kingono kwa nguvu,sexual_violence,swahili
He raped me multiple times,sexual_violence,english
He sexually abused me for years,sexual_violence,english
Anaharibu ujasiri wangu mara zote,emotional_violence,swahili
Alinibaka nilipokana mapendekezo yake,sexual_violence,swahili
Ananidhuru kiuchumi kila siku,economic_violence,swahili
He whipped me with a cord,Physical_violence,english
He undermines my confidence,emotional_violence,english
Alinidhuru kimwili kwa makusudi,Physical_violence,swahili
He raped me and threatened me afterwards,sexual_violence,english
He denies me money for necessities,economic_violence,english
He sexually violated me repeatedly,sexual_violence,english
